Gmt time,"     Open","   High","   Low","   Close"," Open-target","High-target","Low-target","Close-taget"
"09.04.2010 ","1.33736","1.35008","1.33363","1.34985","1.34985","1.34985","1.34985","1.34985"
"10.04.2010 ","1.34985","1.34985","1.34985","1.34985","1.35290","1.36742","1.35290","1.36535"
"11.04.2010 ","1.35290","1.36742","1.35290","1.36535","1.36548","1.36905","1.35637","1.35854"
"12.04.2010 ","1.36548","1.36905","1.35637","1.35854","1.35857","1.36265","1.35437","1.36133"
"13.04.2010 ","1.35857","1.36265","1.35437","1.36133","1.36131","1.36794","1.35929","1.36535"
"14.04.2010 ","1.36131","1.36794","1.35929","1.36535","1.36538","1.36657","1.35169","1.35628"
"15.04.2010 ","1.36538","1.36657","1.35169","1.35628","1.35624","1.35637","1.34703","1.35018"
"16.04.2010 ","1.35624","1.35637","1.34703","1.35018","1.35018","1.35018","1.35018","1.35018"
"17.04.2010 ","1.35018","1.35018","1.35018","1.35018","1.34970","1.34970","1.34633","1.34752"
"18.04.2010 ","1.34970","1.34970","1.34633","1.34752","1.34743","1.34946","1.34124","1.34831"
"19.04.2010 ","1.34743","1.34946","1.34124","1.34831","1.34838","1.35222","1.34154","1.34216"
"20.04.2010 ","1.34838","1.35222","1.34154","1.34216","1.34214","1.34495","1.33561","1.33863"
"21.04.2010 ","1.34214","1.34495","1.33561","1.33863","1.33864","1.34209","1.32014","1.32217"
"22.04.2010 ","1.33864","1.34209","1.32014","1.32217","1.32214","1.33995","1.32020","1.33831"
"23.04.2010 ","1.32214","1.33995","1.32020","1.33831","1.33831","1.33831","1.33831","1.33831"
"24.04.2010 ","1.33831","1.33831","1.33831","1.33831","1.33773","1.33773","1.33313","1.33611"
"25.04.2010 ","1.33773","1.33773","1.33313","1.33611","1.33618","1.34131","1.32892","1.33915"
"26.04.2010 ","1.33618","1.34131","1.32892","1.33915","1.33938","1.33942","1.31419","1.31765"
"27.04.2010 ","1.33938","1.33942","1.31419","1.31765","1.31768","1.32654","1.31117","1.31958"
"28.04.2010 ","1.31768","1.32654","1.31117","1.31958","1.31954","1.32773","1.31819","1.32497"
"29.04.2010 ","1.31954","1.32773","1.31819","1.32497","1.32494","1.33418","1.32222","1.32890"
"30.04.2010 ","1.32494","1.33418","1.32222","1.32890","1.32890","1.32890","1.32890","1.32890"
"01.05.2010 ","1.32890","1.32890","1.32890","1.32890","1.32974","1.33586","1.32974","1.33112"
"02.05.2010 ","1.32974","1.33586","1.32974","1.33112","1.33117","1.33131","1.31498","1.31949"
"03.05.2010 ","1.33117","1.33131","1.31498","1.31949","1.31935","1.32130","1.29598","1.29769"
"04.05.2010 ","1.31935","1.32130","1.29598","1.29769","1.29762","1.29952","1.27847","1.28115"
"05.05.2010 ","1.29762","1.29952","1.27847","1.28115","1.28107","1.28539","1.25187","1.26529"
"06.05.2010 ","1.28107","1.28539","1.25187","1.26529","1.26525","1.27974","1.25836","1.27515"
"07.05.2010 ","1.26525","1.27974","1.25836","1.27515","1.27515","1.27515","1.27515","1.27515"
"08.05.2010 ","1.27515","1.27515","1.27515","1.27515","1.27799","1.29481","1.27799","1.28687"
"09.05.2010 ","1.27799","1.29481","1.27799","1.28687","1.28673","1.30918","1.27206","1.27358"
"10.05.2010 ","1.28673","1.30918","1.27206","1.27358","1.27355","1.27996","1.26141","1.26387"
"11.05.2010 ","1.27355","1.27996","1.26141","1.26387","1.26385","1.27395","1.26032","1.26434"
"12.05.2010 ","1.26385","1.27395","1.26032","1.26434","1.26432","1.26833","1.25135","1.25288"
"13.05.2010 ","1.26432","1.26833","1.25135","1.25288","1.25276","1.25756","1.23522","1.23583"
"14.05.2010 ","1.25276","1.25756","1.23522","1.23583","1.23583","1.23583","1.23583","1.23583"
"15.05.2010 ","1.23583","1.23583","1.23583","1.23583","1.23537","1.23710","1.23373","1.23553"
"16.05.2010 ","1.23537","1.23710","1.23373","1.23553","1.23545","1.24134","1.22373","1.23813"
